                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.94334,                0.69245,                 1.1664,                0.90923,                0.93095,                0.95942,                0.75563,                0.82802,                 0.4348,                 1.1125,               0.004654,               0.004654,               0.004654
                    110,                0.94545,                0.69697,                 1.1684,                0.90918,                0.93137,                0.95966,                0.75606,                0.82717,                0.43381,                  1.112,              0.0046045,              0.0046045,              0.0046045
                    111,                0.93722,                0.69418,                 1.1663,                0.90994,                0.93145,                0.95983,                0.75654,                0.82632,                0.43314,                 1.1114,               0.004555,               0.004555,               0.004555
                    112,                0.94198,                0.69005,                 1.1651,                0.90867,                0.93297,                0.96001,                0.75697,                0.82547,                0.43256,                  1.111,              0.0045055,              0.0045055,              0.0045055
                    113,                0.93517,                 0.6863,                 1.1614,                0.90855,                0.93388,                0.96031,                0.75742,                0.82463,                0.43187,                 1.1104,               0.004456,               0.004456,               0.004456
                    114,                0.94028,                0.68755,                 1.1665,                0.90924,                0.93376,                0.96054,                 0.7579,                 0.8238,                0.43103,                 1.1099,              0.0044065,              0.0044065,              0.0044065
                    115,                0.93184,                0.68397,                 1.1654,                0.90974,                0.93377,                 0.9608,                 0.7585,                 0.8229,                0.43037,                 1.1094,               0.004357,               0.004357,               0.004357
                    116,                0.93227,                 0.6813,                 1.1641,                0.90895,                0.93479,                  0.961,                0.75889,                0.82218,                0.42981,                 1.1089,              0.0043075,              0.0043075,              0.0043075
                    117,                0.93526,                0.68757,                 1.1652,                0.90991,                0.93421,                0.96122,                0.75942,                0.82136,                0.42921,                 1.1084,               0.004258,               0.004258,               0.004258
                    118,                0.93383,                0.67875,                 1.1631,                0.91004,                0.93464,                0.96139,                0.75961,                0.82061,                0.42859,                 1.1079,              0.0042085,              0.0042085,              0.0042085
